id,Name,Area Name,Borough,Address,Latitude,Longitude,hasFemaleFacilities,hasWheelchairAccess,Url Slug,Google Url
11,Bow Muslim Community Centre,Bow,Tower Hamlets,"515b-517 Roman Rd, E3 5EL",51.53254607,-0.0317094006,false,false,bmcc,https://goo.gl/maps/6KvQUwiPRDQ6cVU28
12,Brick Lane Jamme Masjid,Shoreditch,Tower Hamlets,"59 Brick Lane, E1 6QL",51.51954025,-0.07189501382,true,false,bricklanemasjid,https://goo.gl/maps/47nKdarwjKuDTPJ3A
13,British Estate Masjid,Bow,Tower Hamlets,"31 Merchant Street, E3 4PZ",51.52542981,-0.02619418198,false,false,britishestatemasjid,https://goo.gl/maps/7d1ZG967JtLYoso6A
14,Bromley By Bow Masjid,Bow,Tower Hamlets,"Powis Road, E3 3HJ",51.52616108,-0.014352584,false,false,bbbmasjid,https://goo.gl/maps/4BYNcoR356h8nonS6
15,Burdett Estate Mosque,Poplar,Tower Hamlets,"Masjid Lane, E14 7UD",51.51699822,-0.02644601476,false,false,bbcamasjid,https://goo.gl/maps/PU8KN8BuKjGXkrh59
16,Burhan Uddin Mosque,Bethnal Green,Tower Hamlets,"8 Buckfast St, E2 6EY",51.52604305,-0.06612903431,false,false,burhanuddinmasjid,https://goo.gl/maps/aftba8SQzt4RJgZa7
17,Collingwood Masjid,Whitechapel,Tower Hamlets,"4 Ashington House, E1 5RA",51.52321735,-0.05836130094,false,false,collingwoodmasjid,https://goo.gl/maps/BnM12HXGUpL8AFx76
18,Coventry Cross Mosque,Bow,Tower Hamlets,"6 Broxbourne House, Devas St, E3 3LJ",51.52293333,-0.01461007912,false,false,coventrycrossmasjid,https://goo.gl/maps/41jaJVEmSqzC8Gk49
19,Darul Ummah Jamme Masjid,Shadwell,Tower Hamlets,"56 Bigland St, E1 2ND",51.51251182,-0.0582869955,true,false,darulummah,https://goo.gl/maps/t96GLuJBvbRNTHoA9
20,Docklands Community Mosque,Docklands,Tower Hamlets,"111-113 Mellish St, E14 8PJ",51.49679624,-0.02127621637,false,false,dco,https://goo.gl/maps/AEBkt5ivA6d54odx5
21,Dorset Masjid,Bethnal Green,Tower Hamlets,"Diss St, E2 7QX",51.53001714,-0.07238230804,false,false,dorsetmasjid,https://goo.gl/maps/dGNtfQs64QW9jfWW7
22,East London Mosque,Whitechapel,Tower Hamlets,"92 Whitechapel Rd, E1 1JQ",51.51757166,-0.06548708235,true,true,elm,https://goo.gl/maps/DdMQ53yKaNDUUR1M9
23,Eastside Centre Masjid,Limehouse,Tower Hamlets,"2-4 Boulcott St, E1 0HR",51.51253299,-0.04207807846,false,false,alhuda,https://goo.gl/maps/DhCtHNeVXdDEQ2Ai8
24,Esha Atul Islam Mosque,Whitechapel,Tower Hamlets,"16 Ford Square, E1 2HS",51.51595565,-0.05654396888,false,false,eshaatulislam,https://goo.gl/maps/wNJrFk2kCmNZXahP9
