Day,DATE,FAJR,zohar,ASR,MAGHRIB,ESHA
,01-Feb-22,07:00,13:15,15:30,16:58,19:30
,02-Feb-22,07:00,13:15,15:30,17:00,19:30
,03-Feb-22,07:00,13:15,15:30,17:02,19:30
,04-Feb-22,07:00,13:15,15:30,17:04,19:30
,05-Feb-22,06:45,13:15,15:45,17:06,19:30
,06-Feb-22,06:45,13:15,15:45,17:08,19:30
,07-Feb-22,06:45,13:15,15:45,17:09,19:30
,08-Feb-22,06:45,13:15,15:45,17:11,19:30
,09-Feb-22,06:45,13:15,15:45,17:13,19:30
,10-Feb-22,06:45,13:15,15:45,17:15,19:30
,11-Feb-22,06:45,13:15,15:45,17:17,19:30
,12-Feb-22,06:30,13:15,16:00,17:19,19:30
,13-Feb-22,06:30,13:15,16:00,17:20,19:30
,14-Feb-22,06:30,13:15,16:00,17:22,19:30
,15-Feb-22,06:30,13:15,16:00,17:24,19:30
,16-Feb-22,06:30,13:15,16:00,17:26,19:30
,17-Feb-22,06:30,13:15,16:00,17:28,19:30
,18-Feb-22,06:30,13:15,16:00,17:30,19:30
,19-Feb-22,06:15,13:15,16:15,17:31,19:30
,20-Feb-22,06:15,13:15,16:15,17:33,19:30
,21-Feb-22,06:15,13:15,16:15,17:35,19:30
,22-Feb-22,06:15,13:15,16:15,17:37,19:30
,23-Feb-22,06:15,13:15,16:15,17:39,19:30
,24-Feb-22,06:15,13:15,16:15,17:40,19:30
,25-Feb-22,06:15,13:15,16:15,17:42,19:30
,26-Feb-22,06:00,13:15,16:30,17:44,19:30
,27-Feb-22,06:00,13:15,16:30,17:46,19:30
,28-Feb-22,06:00,13:15,16:30,17:47,19:30
