Masjid Name,Area Name,Address,Latitude,Longitude,url
Docklands Community Organisation,,"111-113 Mellish Street, London, E14 8PJ",51.49679624,-0.02127621637,"https://www.google.com/maps/place/Docklands+Community+Organisation+Cultural+%26+Educational+Centre+(Mosque)/@51.4967955,-0.0212744,17z/data=!3m1!4b1!4m5!3m4!1s0x487602bf09170187:0x6d84a1209cabb37c!8m2!3d51.4967955!4d-0.0212744"
Dorset Community Mosque,,"Diss St, Bethnal Green, London, E2 7QX",51.53001714,-0.07238230804,"https://www.google.com/maps/place/Dorset+Community+Association+and+mosque/@51.5300293,-0.0811373,15z/data=!3m1!4b1!4m5!3m4!1s0x48761cb8c5c3ec47:0xbdd5e344f07000eb!8m2!3d51.5300163!4d-0.0723825"
East London Mosque,,"92 Whitechapel Road, London, E1 1JQ",51.51757166,-0.06548708235,"https://www.google.com/maps/place/East+London+Mosque/@51.5175825,-0.0742423,15z/data=!3m2!4b1!5s0x48761ccb7423aaf3:0x56da432f41d8c97a!4m5!3m4!1s0x48761ccb77652f61:0x39fd220ae3d54406!8m2!3d51.5175695!4d-0.0654875"
Esha Atul Islam Mosque,,"16 Ford Square, Damien Court, London, E1 2HS",51.51595565,-0.05654396888,"https://www.google.com/maps/place/Esha+Atul+Islam+Mosque/@51.5159611,-0.0652874,15z/data=!3m1!4b1!4m5!3m4!1s0x48761cd2dd555ad1:0x68519b14917e22d5!8m2!3d51.5159477!4d-0.0565443"
Globe Town Mosque,,"100 Roman Road, London, E2 0RN",51.52869157,-0.04821843951,"https://www.google.com/maps/place/Globe+Town+Mosque/@51.5287064,-0.0569843,15z/data=!3m1!4b1!4m5!3m4!1s0x48761cd8f2944c35:0x117fe1910a9d27bf!8m2!3d51.5286908!4d-0.048219"
Hamlets Way Masjid,,"97-101 Hamlets Way, Bow, London, E3 4TL",51.52335176,-0.03362084195,"https://www.google.com/maps/place/Hamlets+Way+Masjid/@51.5233463,-0.0338824,21z/data=!4m5!3m4!1s0x48761d30361bff61:0x53e4f2986437f048!8m2!3d51.5233508!4d-0.0336216"
Hifzul Qur'an and Islamic Centre,,"304 Burdett Road, Limehouse, London, E14 7DQ",51.51503138,-0.02885774297,"https://www.google.com/maps/place/Hifzul+Quran+%26+Islamic+Education+Centre/@51.5150222,-0.0289089,17z/data=!3m1!4b1!4m5!3m4!1s0x48761d34acb3d20b:0x4465bf8a6a77939e!8m2!3d51.515032!4d-0.0288606"
Hindgrove Cultural Centre,,"162 Pigott Street, London, E14 7DW",51.51299327,-0.02547935131,"https://www.google.com/maps/place/Hind+Grove+Cultural+And+Community+Association/@51.5129919,-0.0280538,17z/data=!3m1!4b1!4m5!3m4!1s0x487602caee655cbd:0x2b2171041d820e34!8m2!3d51.5129919!4d-0.0254789"
Lansbury Estate Masjid,,"20 Alton Street. London, E14 6BZ",51.51513331,-0.01822684862,"https://www.google.com/maps/place/Lansbury+Estate+Masjid/@51.5151788,-0.0270273,15z/data=!3m1!4b1!4m5!3m4!1s0x48761d4b5289c9b7:0xb01c11b7357c7328!8m2!3d51.5151333!4d-0.0182272"
Limehouse Masjid,,"304-306 Stocks Pl, London, E14 8AE",51.51014177,-0.02830659904,"https://www.google.com/maps/place/Limehouse+Masjid/@51.510133,-0.0289321,18z/data=!3m1!4b1!4m6!3m5!1s0x487602cbe47e50eb:0x4616e697b5b6e60!8m2!3d51.5101402!4d-0.028308!16s%2Fg%2F1ptys15b0"
